Razão Social;Nome de Pregão;Código
3R PETROLEUM ÓLEO E GÁS S.A;3R PETROLEUM;RRRP
3Z REALTY DESENVOLVIMENTO IMOBILIARIO S/A;3ZREALTY;TZRD
524 PARTICIPACOES S.A.;524 PARTICIP;QVQP
A GERADORA ALUGUEL DE MAQUINAS S.A.;GERADORA;GRDR
A BODYTECH PARTICIPACOES S.A.;BODYTECH;BODY
AB CONCESSOES S.A.;ABCONCESSOES;ATBC
ABA PORTO PARTICIPACOES S/A;ABAPORTO;ABAP
ABAPORU PARTICIPACOES S/A;ABAPORU;ABPR
ABIMEX IMPORTACAO E EXPORTACAO S/A;ABIMEX;ABMX
ABRDN PHYSICAL GOLD SHARES ETF;ABDEN GOLD;ABGD
ABRDN PHYSICAL SILVER SHARES ETF;ABDEN SILV;SIVR
ABRIL COMUNICACOES S.A.;ABRIL COM;ABRL
ACECO TI S/A;ACECOTI;ACEC
ACEF S.A.;ACEF;FCEF
ACHE LABORATORIOS FARMACEUTICOS S.A.;ACHELABORAT;ACHE
ACQIO HOLDING PARTICIPACOES S.A.;ACQIO HOLDIN;ACQO
AÇU PETROLEO S.A.;ACU PETROLEO;ACPE
AÇUCAREIRA QUATA S.A.;QUATA;QUAT
ADAMI S.A. - MADEIRAS;ADAMI;ADMA
ADECOAGRO VALE DO EVINHEMA S.A.;ADECOAGRO VA;ADAG
AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A;AERIS;AERI
AEROPORTOS BRASIL - VIRACOPOS S.A.;VIRACOPOS;VRCP
AEROPORTOS DO NORDESTE DO BRASIL S.A.;AEROPORTOSDO;AENB
AES BRASIL ENERGIA S.A.;AES BRASIL;AESB
AES BRASIL OPERAÇÕES S.A.;AESOPERACOES;AESO
AES CAJUINA AB1 HOLDINGS S.A.;AES CAJUINA;AEAB
AES HOLDINGS BRASIL S.A.;AES HOLD BR;AHBR
AES Tucano Holding II S.A.;AESTUCHOLDII;TCII
AETE - AMAZONIA EMPRESA TRANSMISSORA DE ENERGIA;AETEAMAZONIA;AETE
AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A;AFLUENTE T;AFLT
AGASUS S.A.;AGASUS S.A.;AGAU
AGEO LESTE S.A;AGEO LESTE S;AGLT
AGEO NORTE TERMINAIS E ARMAZENS GERAIS S/A;AGEO NORTE;AGNN
AGEO TERMINAIS E ARMAZENS GERAIS S/A;AGEO;AGEO
AGIPLAN FINANCEIRA S/A CREDITO FINANCIAMENTO E INV;AGIPLANCFI;AGPN
AGORA SOL. EM TEC. DA INFORMACAO E COMUNICACAO SA;AGORATECNOLO;NOWS
AGORACRED S/A SOCIEDADE DE CREDITO FINANCIAMENTO E;AGORACFI;UNLT
AGRICOLA ALVORADA LTDA;AGRICOLA ALV;AGAL
AGRO TALENT PARTICIPACOES S/A;AGRO TALENT;AGTL
AGROCERES MULTIMIX NUTRICAO ANIMAL LTDA;AGROCERESMUL;AGML
AGROGALAXY PARTICIPAÇÕES S.A.;AGROGALAXY;AGXY
AGROPASTORIL JOTABASSO LTDA.;AGROPASTORIL;AJOT
AGROVIA DO NORDESTE S.A.;AGROVIA;AGND
AGUA LIMPA ENERGIA S/A;AGUA LIMPA E;AULE
